id,name,position,dateOfBirth,nationality,team
4832,David Raya,Goalkeeper,1995-09-15,Spain,Arsenal FC
5530,Aaron Ramsdale,Goalkeeper,1998-05-14,England,Arsenal FC
6154,Ben White,Defence,1997-10-08,England,Arsenal FC
7889,Oleksandr Zinchenko,Defence,1996-12-15,Ukraine,Arsenal FC
9034,Takehiro Tomiyasu,Defence,1998-11-05,Japan,Arsenal FC
23128,Gabriel,Defence,1997-12-19,Brazil,Arsenal FC
80171,William Saliba,Defence,2001-03-24,France,Arsenal FC
98816,Jurrien Timber,Defence,2001-06-17,Netherlands,Arsenal FC
133512,Riccardo Calafiori,Defence,2002-05-19,Italy,Arsenal FC
147286,Jakub Kiwior,Defence,2000-02-15,Poland,Arsenal FC
247644,Ayden Heaven,Defence,2006-09-22,England,Arsenal FC
110,Thomas Partey,Midfield,1993-06-13,Ghana,Arsenal FC
171,Kai Havertz,Midfield,1999-06-11,Germany,Arsenal FC
2094,Jorginho,Midfield,1991-12-20,Italy,Arsenal FC
7427,Martin Ødegaard,Midfield,1998-12-17,Norway,Arsenal FC
7799,Reiss Nelson,Midfield,1999-12-10,England,Arsenal FC
8215,Declan Rice,Midfield,1999-01-14,England,Arsenal FC
8984,Leandro Trossard,Midfield,1994-12-04,Belgium,Arsenal FC
61450,Martinelli,Midfield,2001-06-18,Brazil,Arsenal FC
99813,Bukayo Saka,Midfield,2001-09-05,England,Arsenal FC
112948,Fabio Vieira,Midfield,2000-05-30,Portugal,Arsenal FC
188476,Ethan Nwaneri,Midfield,2007-03-21,England,Arsenal FC
3236,Gabriel Jesus,Offence,1997-04-03,Brazil,Arsenal FC
7800,Eddie Nketiah,Offence,1999-05-30,England,Arsenal FC
15615,Kieran Tierney,Left-Back,1997-06-05,Scotland,Arsenal FC
3141,Emiliano Martínez,Goalkeeper,1992-09-02,Argentina,Aston Villa FC
15512,Robin Olsen,Goalkeeper,1990-01-08,Sweden,Aston Villa FC
81871,Joe Gauci,Goalkeeper,2000-07-04,Australia,Aston Villa FC
244962,Sam Proctor,Goalkeeper,2006-12-21,England,Aston Villa FC
3359,Lucas Digne,Defence,1993-07-20,France,Aston Villa FC
4082,Kortney Hause,Defence,1995-07-16,England,Aston Villa FC
6317,Ezri Konsa,Defence,1998-04-06,England,Aston Villa FC
8235,Tyrone Mings,Defence,1993-03-13,England,Aston Villa FC
8698,Diego Carlos,Defence,1993-03-15,Brazil,Aston Villa FC
11644,Matty Cash,Defence,1997-08-07,Poland,Aston Villa FC
32123,Alex Moreno,Defence,1993-06-08,Spain,Aston Villa FC
33109,Pau Torres,Defence,1997-01-16,Spain,Aston Villa FC
204428,Travis Patterson,Defence,2005-10-06,England,Aston Villa FC
217929,Kosta Nedeljković,Defence,2005-12-16,Serbia,Aston Villa FC
157,Leon Bailey,Midfield,1997-08-09,Jamaica,Aston Villa FC
3658,Youri Tielemans,Midfield,1997-05-07,Belgium,Aston Villa FC
3659,Leander Dendoncker,Midfield,1995-04-15,Belgium,Aston Villa FC
7817,Ross Barkley,Midfield,1993-12-05,England,Aston Villa FC
8346,Boubacar Kamara,Midfield,1999-11-23,France,Aston Villa FC
31941,Emiliano Buendía,Midfield,1996-12-25,Argentina,Aston Villa FC
34646,John McGinn,Midfield,1994-10-18,Scotland,Aston Villa FC
82140,Morgan Rogers,Midfield,2002-07-26,England,Aston Villa FC
111437,Jacob Ramsey,Midfield,2001-05-28,England,Aston Villa FC
114024,Amadou Onana,Midfield,2001-08-16,Belgium,Aston Villa FC
158894,Enzo Barrenechea,Midfield,2001-05-22,Argentina,Aston Villa FC
172632,Jaden Philogene-Bidace,Midfield,2002-02-08,England,Aston Villa FC
4444,Ollie Watkins,Offence,1995-12-30,England,Aston Villa FC
104493,Jhon Durán,Offence,2003-12-13,Colombia,Aston Villa FC
182274,Samuel Iling-Junior,Offence,2003-10-04,England,Aston Villa FC
